!SIL	SIL
आईपीएस	aa ii p ii ee s
आईपीसी	aa ii p ii s ii
आईपैड	aa ii p ei dx
आईफोन	aa ii ph o n
आईबी	aa ii b ii
आईबीपी	aa ii b ii p ii
आईबीपीएस	aa ii b ii p ii ee s
आईसलैंड	aa ii s l ei q dx
आईसी	aa ii s ii
आईसीएफ	aa ii s ii ee ph
आईसीयू	aa ii s ii y uu
आईसीसी	aa ii s ii s ii
आईसोलेशन	aa ii s o l ee sh a n
आईस्टींन	aa ii s tx ii q n
आउट	aa u tx
आउटआदिल	aa u tx aa d i l
आउटडो	aa u tx dx o
आउटडोर	aa u tx dx o r
आउटफील्ड	aa u tx ph ii l dx
आऊंगा	aa uu q g aa
आए	aa ee
आएं	aa ee q
आएंग	aa ee q g
आएंगी	aa ee q g ii
आएंगे	aa ee q g ee
आएगा	aa ee g aa
आएगी	aa ee g ii
आओ	aa o
आकंड़ों	aa k a q dxq o q
आकर	aa k a r
आकर्षक	aa k a r sx a k
आकर्षण	aa k a r sx a nx
आकर्षित	aa k a r sx i t
आकलन	aa k l a n
आकांक्षाओं	aa k aa q k sx aa o q
आकाओं	aa k aa o q
आकार	aa k aa r
आकार्षित	aa k aa r sx i t
आकाश	aa k aa sh
आकृष्ट	aa k rq sx tx
आक्टर	aa k tx a r
आक्रमकता	aa k r a m a k t aa
आक्रमण	aa k r a m a nx
आक्रमणकारियों	aa k r a m nx a k aa r i y o q
आक्रांत	aa k r aa q t
आक्रामक	aa k r aa m a k
आक्रामकता	aa k r aa m a k t aa
आक्रोश	aa k r o sh
आक्साइड	aa k s aa i dx
आक्सीजन	aa k s ii j a n
आखरी	aa kh r ii
आखिर	aa kh i r
आखिरकार	aa kh i r k aa r
आखिरी	aa kh i r ii
आखिल	aa kh i l
आखेट	aa kh ee tx
आखों	aa kh o q
आग	aa g
आगमन	aa g m a n
आगरा	aa g r aa
आगाज	aa g aa j
आगाम	aa g aa m
आगामी	aa g aa m ii
आगाह	aa g aa h
आगे	aa g ee
आग्नेयास्त्र	aa g n ee y aa s t r
आग्रह	aa g r a h
आग्रोस्टागिंक	aa g r o s tx aa g i q k
आच	aa c
आचरण	aa c r a nx
आचार	aa c aa r
आचार्य	aa c aa r y
आज	aa j
आजकल	aa j k a l
आजतक	aa j t a k
आजम	aa j a m
आजमाते	aa j m aa t ee
आजमाने	aa j m aa n ee
आजमाया	aa j m aa y aa
आजा	aa j aa
आजाद	aa j aa d
आजादि	aa j aa d i
आजादी	aa j aa d ii
आजिज	aa j i j
आजीविका	aa j ii w i k aa
आज्ञाकारिणी	aa j nj aa k aa r i nx ii
आट	aa tx
आटसौ	aa tx s ou
आठ	aa txh
आठप्रतिशत	aa txh a p r a t i sh a t
आठवां	aa txh w aa q
आठवीं	aa txh w ii q
आठवें	aa txh w ee q
आठसौ	aa txh s ou
आठारह	aa txh aa r a h
आडवाणी	aa dx w aa nx ii
आडिट	aa dx i tx
आतंक	aa t a q k
आतंकवाद	aa t a q k a w aa d
आतंकवादि	aa t a q k a w aa d i
आतंकवादियों	aa t a q k a w aa d i y o q
आतंकवादी	aa t a q k a w aa d ii
आतंकियों	aa t a q k i y o q
आतंकी	aa t a q k ii
आतंदकयों	aa t a q d a k a y o q
आतंरिक	aa t a q r i k
आतधिकाररिक	aa t dh i k aa r r i k
आता	aa t aa
आती	aa t ii
आतुर	aa t u r
आते	aa t ee
आत्म	aa t m
आत्मघाती	aa t m a gh aa t ii
आत्मनिर्भर	aa t m a n i r bh a r
आत्मनिर्भरता	aa t m a n i r bh a r t aa
आत्मविश्वास	aa t m a w i sh w aa s
आत्मसमर्पण	aa t m a s m a r p a nx
आत्महत्या	aa t m a h a t y aa
आत्महत्याओं	aa t m a h a t y aa o q
आत्मा	aa t m aa
आदत	aa d a t
आदमखोर	aa d m a kh o r
आदमी	aa d m ii
आदर्श	aa d a r sh
आदर्शवाद	aa d a r sh a w aa d
आदान	aa d aa n
आदि	aa d i
आदित्य	aa d i t y
आदिपदों	aa d i p d o q
आदिल	aa d i l
आदिवसी	aa d i w s ii
आदिवासियों	aa d i w aa s i y o q
आदिवासी	aa d i w aa s ii
आदेश	aa d ee sh
आदेष	aa d ee sx
आधा	aa dh aa
आधार	aa dh aa r
आधारकार्ड	aa dh aa r k aa r dx
आधारभूत	aa dh aa r bh uu t
आधारित	aa dh aa r i t
आधारों	aa dh aa r o q
आधिकारिक	aa dh i k aa r i k
आधिक्य	aa dh i k y
आधिपत्य	aa dh i p a t y
आधिारि	aa dh i aa r i
आधी	aa dh ii
आधीरात	aa dh ii r aa t
आधुनिक	aa dh u n i k
आधे	aa dh ee
आध्यात्म	aa dh y aa t m
आन	aa n
आनंद	aa n a q d
आनन	aa n a n
आनलाइन	aa n l aa i n
आना	aa n aa
आनाकानी	aa n aa k aa n ii
आने	aa n ee
आन्ध्र	aa n dh r
आप	aa p
आपकखो	aa p a k kh o
आपकरो	aa p a k r o
आपकला	aa p a k l aa
आपका	aa p k aa
आपकी	aa p k ii
आपके	aa p k ee
आपको	aa p k o
आपत्ति	aa p a t t i
आपत्तिजनक	aa p a t t i j n a k
आपद	aa p a d
आपदा	aa p d aa
आपदाएं	aa p d aa ee q
आपदाओं	aa p d aa o q
आपन	aa p a n
आपनवे	aa p a n w ee
आपने	aa p n ee
आपराधिक	aa p r aa dh i k
आपरेशन	aa p r ee sh a n
आपस	aa p a s
आपसी	aa p s ii
आपसे	aa p s ee
आपात	aa p aa t
आपातकालीन	aa p aa t k aa l ii n
आपूर्ति	aa p uu r t i
आप्	aa p
आप्टे	aa p tx ee
आफ	aa ph
आफर	aa ph a r
आफर्स	aa ph a r s
आफिस	aa ph i s
आफिसर	aa ph i s a r
आबंटन	aa b a q tx a n
आबंटित	aa b a q tx i t
आबादियां	aa b aa d i y aa q
आबादी	aa b aa d ii
आबिद	aa b i d
आभार	aa bh aa r
आभूषण	aa bh uu sx a nx
आम	aa m
आमंत्रित	aa m a q t r i t
आमजन	aa m j a n
आमतौर	aa m t ou r
आमद	aa m a d
आमदनी	aa m a d n ii
आमदिनी	aa m d i n ii
आमने	aa m n ee
आमला	aa m l aa
आमसभा	aa m a s bh aa
आमादा	aa m aa d aa
आमिताभ	aa m i t aa bh
आमिर	aa m i r
आमूल	aa m uu l
आमूलचूल	aa m uu l c uu l
आय	aa y
आयकर	aa y a k a r
आयन	aa y a n
आयरन	aa y a r a n
आयला	aa y a l aa
आयवर्ग	aa y a w a r g
आया	aa y aa
आयाएेसी	aa y aa ee ee s ii
आयात	aa y aa t
आयातित	aa y aa t i t
आयाम	aa y aa m
आयु	aa y u
आयुक्त	aa y u k t
आयुधों	aa y u dh o q
आयुनुद्दीन	aa y u n u d d ii n
आयुर्विज्ञान	aa y u r w i j nj aa n
आयुर्वेद	aa y u r w ee d
आयुर्वेदिक	aa y u r w ee d i k
आयुष	aa y u sx
आयू	aa y uu
आये	aa y ee
आयेंगे	aa y ee q g ee
आयोग	aa y o g
आयोगों	aa y o g o q
आयोजजत	aa y o j j a t
आयोजन	aa y o j a n
आयोजनों	aa y o j n o q
आयोजित	aa y o j i t
आयोजिन	aa y o j i n
आर	aa r
आरंभ	aa r a q bh
आरंभिक	aa r a q bh i k
आरआरएस	aa r aa r ee s
आरआरबी	aa r aa r b ii
आरएएस	aa r ee ee s
आरएम	aa r ee m
आरएस	aa r ee s
आरएसएमएसएसबी	aa r ee s ee m ee s ee s b ii
आरएसएस	aa r ee s ee s
आरओ	aa r o
आरके	aa r a k ee
आरकॉम	aa r a k ax m
आरक्षण	aa r a k sx a nx
आरक्षित	aa r a k sx i t
आरटीआई	aa r a tx ii aa ii
आरटीई	aa r a tx ii ii
आरती	aa r a t ii
आरथिक	aa r a th i k
आरपार	aa r a p aa r
आरपीएचईडी	aa r a p ii ee c ii dx ii
आरपीएससी	aa r a p ii ee s s ii
आरबीआई	aa r a b ii aa ii
आरम्भ	aa r a m bh
आराम	aa r aa m
आरिक्षण	aa r i k sx a nx
आरिोप	aa r i o p
आरोप	aa r o p
आरोपियों	aa r o p i y o q
आरोपी	aa r o p ii
आरोपों	aa r o p o q
आर्किटेक्चर	aa r k i tx ee k c a r
आर्गनाइेशन	aa r g a n aa i ee sh a n
आर्ट	aa r tx
आर्टिफिशियल	aa r tx i ph i sh i y a l
आर्टिस्ट	aa r tx i s tx
आर्डर	aa r dx a r
आर्थर	aa r th a r
आर्थिक	aa r th i k
आर्मिटेज	aa r m i tx ee j
आर्मी	aa r m ii
आर्य	aa r y
आर्यन	aa r y a n
आर्यभाषा	aa r y a bh aa sx aa
आर्सेनिक	aa r s ee n i k
आल	aa l
आलखरिकारि	aa l a kh r i k aa r i
आलखरिी	aa l a kh r i ii
आलमीरा	aa l a m ii r aa
आलराउंडर्स	aa l a r aa u q dx a r s
आला	aa l aa
आलावा	aa l aa w aa
आलिया	aa l i y aa
आलेख	aa l ee kh
आलोक	aa l o k
आलोचक	aa l o c a k
आलोचकों	aa l o c k o q
आलोचना	aa l o c n aa
आलोचनात्मक	aa l o c n aa t m a k
आलोच्य	aa l o c y
आव	aa w
आवंटन	aa w a q tx a n
आवंटित	aa w a q tx i t
आवदेन	aa w a d ee n
आवश्यक	aa w a sh y a k
आवश्यकता	aa w a sh y a k t aa
आवश्यकताओं	aa w a sh y a k a t aa o q
आवश्यकतानुसार	aa w a sh y a k a t aa n u s aa r
आवागमन	aa w aa g m a n
आवाज	aa w aa j
आवाजाही	aa w aa j aa h ii
आवाजों	aa w aa j o q
आवारा	aa w aa r aa
आवास	aa w aa s
आवासीय	aa w aa s ii y
आवेजन	aa w ee j a n
आवेद	aa w ee d
आवेदक	aa w ee d a k
आवेदकों	aa w ee d k o q
आवेदन	aa w ee d a n
आवेदनकर्ताओं	aa w ee d a n k a r t aa o q
आवेदनरेलवे	aa w ee d n a r ee l w ee
आवेदनों	aa w ee d n o q
आवेदिकों	aa w ee d i k o q
आवेदिन	aa w ee d i n
आवोदन	aa w o d a n
आव्श्यम्भावी	aa w sh y a m bh aa w ii
आशंका	aa sh a q k aa
आशंकित	aa sh a q k i t
आशय	aa sh a y
आशा	aa sh aa
आशाओं	aa sh aa o q
आशातीत	aa sh aa t ii t
आशानुरूप	aa sh aa n u r uu p
आशिकी	aa sh i k ii
आशीर्वाद	aa sh ii r w aa d
आशीष	aa sh ii sx
आश्कर	aa sh k a r
आश्चर्य	aa sh c a r y
आश्चर्यजनक	aa sh c a r y a j a n a k
आश्रम	aa sh r a m
आश्रय	aa sh r a y
आश्वस्त	aa sh w a s t
आश्वासन	aa sh w aa s a n
आष्वस्त	aa sx w a s t
आस	aa s
आसपास	aa s a p aa s
आसमान	aa s a m aa n
आसा	aa s aa
आसान	aa s aa n
आसानी	aa s aa n ii
आसामी	aa s aa m ii
आसार	aa s aa r
आसियान	aa s i y aa n
आसेर्निक	aa s ee r n i k
आस्कर	aa s k a r
आस्टेलिया	aa s tx ee l i y aa
आस्ट्रलिया	aa s tx r a l i y aa
आस्ट्रलियाई	aa s tx r a l i y aa ii
आस्ट्रेलिया	aa s tx r ee l i y aa
आस्ट्रेलियाई	aa s tx r ee l i y aa ii
आस्तियों	aa s t i y o q
आस्था	aa s th aa
आहत	aa h a t
आहार	aa h aa r
आहारों	aa h aa r o q
आहुति	aa h u t i
आहोम	aa h o m
आह्वान	aa h w aa n
आूपपरेशन	aa uu p p a r ee sh a n
आॅउट	aa ae u tx
आॅक्साइड	aa ae k s aa i dx
आॅक्सीजन	aa ae k s ii j a n
आॅगमेंटेंड	aa ae g m ee q tx ee q dx
आॅडिट	aa ae dx i tx
आॅन	aa ae n
आॅनलाइन	aa ae n l aa i n
आॅपरेशन	aa ae p r ee sh a n
आॅफ	aa ae ph
आॅफर	aa ae ph a r
आॅफर्स	aa ae ph a r s
आॅर्गनाइेशन	aa ae r g a n aa i ee sh a n
आॅस्टेलिया	aa ae s tx ee l i y aa
आॅस्ट्रलिया	aa ae s tx r a l i y aa
आॅस्ट्रलियाई	aa ae s tx r a l i y aa ii
आॅस्ट्रेलिया	aa ae s tx r ee l i y aa
आॅस्ट्रेलियाई	aa ae s tx r ee l i y aa ii
आेपन	aa ee p a n
आड़	aa dxq
आड़े	aa dxq ee
इ	i
इँसान	i mq s aa n
इंकार	i q k aa r
इंक्वायरी	i q k w aa y r ii
इंगेजमेंट	i q g ee j m ee q tx
इंग्लिश	i q g l i sh
इंग्लैंड	i q g l ei q dx
इंग्लैड	i q g l ei dx
इंग्लैण्ड	i q g l ei nx dx
इंग्लैेंड	i q g l ei ee q dx
इंच	i q c
इंचार्ज	i q c aa r j
इंजन	i q j a n
इंजमाम	i q j m aa m
इंजीनयरीग	i q j ii n y a r ii g
इंजीनियंरिंग	i q j ii n i y a q r i q g
इंजीनियर	i q j ii n i y a r
इंजीनियरपदों	i q j ii n i y a r p a d o q
इंजीनियरिंग	i q j ii n i y r i q g
इंजीनियरी	i q j ii n i y r ii
इंजीनियरों	i q j ii n i y r o q
इंजॉय	i q j ax y
इंटरकनेक्ट	i q tx a r k a n ee k tx
इंटरकॉन्टिनेंटल	i q tx r a k ax n tx i n ee q tx a l
इंटरटटेनिंग	i q tx a r tx a tx ee n i q g
इंटरटेनमेंट	i q tx r a tx ee n m ee q tx
इंटरनल	i q tx a r n a l
इंटरनेट	i q tx r a n ee tx
इंटरनेशनल	i q tx r a n ee sh n a l
इंटरपोल	i q tx r a p o l
इंटरप्रेटेंशन	i q tx r a p r ee tx ee q sh a n
इंटरफेस	i q tx r a ph ee s
इंटरलोक्युटर	i q tx r a l o k y u tx a r
इंटरवल	i q tx r a w a l
इंटरव्यू	i q tx r a w y uu
इंटराइटिस	i q tx r aa i tx i s
इंटरिनेट	i q tx r i n ee tx
इंटरेस्ट	i q tx r ee s tx
इंटर्नशिप	i q tx a r n a sh i p
इंटिग्रेशन	i q tx i g r ee sh a n
इंटीग्रल	i q tx ii g r a l
इंटीमेट	i q tx ii m ee tx
इंटेलीजेंस	i q tx ee l ii j ee q s
इंट्रस्ट	i q tx r a s tx
इंट्रस्टिंग	i q tx r a s tx i q g
इंट्रेंस	i q tx r ee q s
इंट्रेस्ट	i q tx r ee s tx
इंडरस्टीज	i q dx r a s tx ii j
इंडरेस्टी	i q dx r ee s tx ii
इंडस्ट्ज	i q dx a s tx j
इंडस्ट्रियल	i q dx a s tx r i y a l
